Date_Id,calender_date,month_no,month_name,day_of_month,week_day
20180101,2018-01-01,1,Jan,1,Monday
20180102,2018-01-02,1,Jan,2,Tuesday
20180103,2018-01-03,1,Jan,3,Wednesday
20180104,2018-01-04,1,Jan,4,Thursday
20180105,2018-01-05,1,Jan,5,Friday
20180106,2018-01-06,1,Jan,6,Saturday
20180107,2018-01-07,1,Jan,7,Sunday
20180108,2018-01-08,1,Jan,8,Monday
20180109,2018-01-09,1,Jan,9,Tuesday
20180110,2018-01-10,1,Jan,10,Wednesday
20180111,2018-01-11,1,Jan,11,Thursday
20180112,2018-01-12,1,Jan,12,Friday
20180113,2018-01-13,1,Jan,13,Saturday
20180114,2018-01-14,1,Jan,14,Sunday
20180115,2018-01-15,1,Jan,15,Monday
20180116,2018-01-16,1,Jan,16,Tuesday
20180117,2018-01-17,1,Jan,17,Wednesday
20180118,2018-01-18,1,Jan,18,Thursday
20180119,2018-01-19,1,Jan,19,Friday
20180120,2018-01-20,1,Jan,20,Saturday
20180121,2018-01-21,1,Jan,21,Sunday
20180122,2018-01-22,1,Jan,22,Monday
20180123,2018-01-23,1,Jan,23,Tuesday
20180124,2018-01-24,1,Jan,24,Wednesday
20180125,2018-01-25,1,Jan,25,Thursday
20180126,2018-01-26,1,Jan,26,Friday
20180127,2018-01-27,1,Jan,27,Saturday
20180128,2018-01-28,1,Jan,28,Sunday
20180129,2018-01-29,1,Jan,29,Monday
20180130,2018-01-30,1,Jan,30,Tuesday
20180131,2018-01-31,1,Jan,31,Wednesday
20180201,2018-02-01,2,Feb,1,Thursday
20180202,2018-02-02,2,Feb,2,Friday
20180203,2018-02-03,2,Feb,3,Saturday
20180204,2018-02-04,2,Feb,4,Sunday
20180205,2018-02-05,2,Feb,5,Monday
20180206,2018-02-06,2,Feb,6,Tuesday
20180207,2018-02-07,2,Feb,7,Wednesday
20180208,2018-02-08,2,Feb,8,Thursday
20180209,2018-02-09,2,Feb,9,Friday
20180210,2018-02-10,2,Feb,10,Saturday
20180211,2018-02-11,2,Feb,11,Sunday
20180212,2018-02-12,2,Feb,12,Monday
20180213,2018-02-13,2,Feb,13,Tuesday
20180214,2018-02-14,2,Feb,14,Wednesday
20180215,2018-02-15,2,Feb,15,Thursday
20180216,2018-02-16,2,Feb,16,Friday
20180217,2018-02-17,2,Feb,17,Saturday
20180218,2018-02-18,2,Feb,18,Sunday
20180219,2018-02-19,2,Feb,19,Monday
20180220,2018-02-20,2,Feb,20,Tuesday
20180221,2018-02-21,2,Feb,21,Wednesday
20180222,2018-02-22,2,Feb,22,Thursday
20180223,2018-02-23,2,Feb,23,Friday
20180224,2018-02-24,2,Feb,24,Saturday
20180225,2018-02-25,2,Feb,25,Sunday
20180226,2018-02-26,2,Feb,26,Monday
20180227,2018-02-27,2,Feb,27,Tuesday
20180228,2018-02-28,2,Feb,28,Wednesday
20180301,2018-03-01,3,Mar,1,Thursday
20180302,2018-03-02,3,Mar,2,Friday
20180303,2018-03-03,3,Mar,3,Saturday
20180304,2018-03-04,3,Mar,4,Sunday
20180305,2018-03-05,3,Mar,5,Monday
20180306,2018-03-06,3,Mar,6,Tuesday
20180307,2018-03-07,3,Mar,7,Wednesday
20180308,2018-03-08,3,Mar,8,Thursday
20180309,2018-03-09,3,Mar,9,Friday
20180310,2018-03-10,3,Mar,10,Saturday
20180311,2018-03-11,3,Mar,11,Sunday
20180312,2018-03-12,3,Mar,12,Monday
20180313,2018-03-13,3,Mar,13,Tuesday
20180314,2018-03-14,3,Mar,14,Wednesday
20180315,2018-03-15,3,Mar,15,Thursday
20180316,2018-03-16,3,Mar,16,Friday
20180317,2018-03-17,3,Mar,17,Saturday
20180318,2018-03-18,3,Mar,18,Sunday
20180319,2018-03-19,3,Mar,19,Monday
